LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,AboveMedianPrice
8450,7,5,856,2,1,3,8,0,548,1
9600,6,8,1262,2,0,3,6,1,460,1
11250,7,5,920,2,1,3,6,1,608,1
9550,7,5,756,1,0,3,7,1,642,0
14260,8,5,1145,2,1,4,9,1,836,1
14115,5,5,796,1,1,1,5,0,480,0
10084,8,5,1686,2,0,3,7,1,636,1
10382,7,6,1107,2,1,3,7,2,484,1
6120,7,5,952,2,0,2,8,2,468,0
7420,5,6,991,1,0,2,5,2,205,0
11200,5,5,1040,1,0,3,5,0,384,0
11924,9,5,1175,3,0,4,11,2,736,1
12968,5,6,912,1,0,2,4,0,352,0
10652,7,5,1494,2,0,3,7,1,840,1
10920,6,5,1253,1,1,2,5,1,352,0
6120,7,
